account_number,date,therms,usaf
1070752574,1/5/09,61,
1070752574,2/3/09,36,
1070752574,3/5/09,43,
1070752574,4/3/09,38,
1070752574,5/5/09,43,
1070752574,6/4/09,36,
1070752574,7/6/09,35,
1070752574,8/4/09,31,
1070752574,9/2/09,29,
1070752574,10/2/09,28,
1070752574,11/2/09,44,
1070752574,12/3/09,24,
1070752574,1/5/10,38,
1070752574,2/3/10,48,
1070752574,3/5/10,38,
1070752574,4/5/10,36,
1070752574,5/5/10,33,
1070752574,6/4/10,31,
1070752574,7/6/10,31,
1070752574,8/4/10,23,
1070752574,9/2/10,28,
1070752574,10/5/10,30,
1070752574,11/3/10,30,
1070752574,12/3/10,42,
1070752574,1/4/11,47,
1070752574,2/3/11,41,
1070752574,3/7/11,41,
1070752574,4/5/11,37,
1070752574,5/4/11,35,
1070752574,6/6/11,39,
1070752574,7/6/11,33,
1070752574,8/4/11,30,
1070752574,9/2/11,32,
1070752574,10/4/11,34,
1070752574,11/2/11,31,
1070752574,12/2/11,37,
1070752574,1/4/12,70,
1070752574,2/2/12,40,
1070752574,3/5/12,44,
1070752574,4/3/12,38,
1070752574,5/3/12,41,
1070752574,6/4/12,38,
1070752574,7/3/12,26,
1070752574,8/2/12,25,
1070752574,8/31/12,22,
1070752574,10/2/12,25,
1070752574,10/31/12,27,
1070752574,12/3/12,35,
1070752574,1/3/13,41,
1070752574,2/1/13,42,
1070752574,3/5/13,41,
1117122256,1/6/09,54,
1117122256,2/4/09,28,
1117122256,3/6/09,43,
1117122256,4/6/09,32,
1117122256,5/6/09,20,
1117122256,6/5/09,9,
1117122256,7/7/09,10,
1117122256,8/5/09,8,
1117122256,9/3/09,7,
1117122256,10/5/09,10,
1117122256,11/3/09,9,
1117122256,12/4/09,27,
1117122256,1/6/10,51,
1117122256,2/4/10,48,
1117122256,3/8/10,48,
1117122256,4/6/10,25,
1117122256,5/6/10,20,
1117122256,6/7/10,3,
1117122256,7/7/10,17,
1117122256,8/5/10,10,
1117122256,9/7/10,10,
1117122256,10/6/10,10,
1117122256,11/4/10,10,
1117122256,12/6/10,54,
1117122256,1/5/11,58,
1117122256,2/4/11,54,
1117122256,3/8/11,65,
1117122256,4/6/11,34,
1117122256,5/5/11,19,
1117122256,6/7/11,13,
1117122256,7/7/11,11,
1117122256,8/5/11,9,
1117122256,9/6/11,11,
1117122256,10/5/11,9,
1117122256,11/3/11,11,
1117122256,12/5/11,28,
1117122256,1/5/12,51,
1117122256,2/3/12,24,
1117122256,3/6/12,17,
1117122256,4/4/12,13,
1117122256,5/4/12,11,
1117122256,6/5/12,5,
1117122256,7/5/12,5,
1117122256,8/3/12,6,
1117122256,9/4/12,4,
1117122256,10/3/12,4,
1117122256,11/1/12,7,
1117122256,12/4/12,14,
1117122256,1/4/13,41,
1117122256,2/4/13,39,
1117122256,3/6/13,38,
1169226403,1/7/09,83,
1169226403,2/5/09,50,
1169226403,3/9/09,73,
1169226403,4/7/09,39,
1169226403,5/7/09,34,
1169226403,6/8/09,29,
1169226403,7/8/09,34,
1169226403,8/6/09,28,
1169226403,9/4/09,25,
1169226403,10/6/09,23,
1169226403,11/4/09,25,
1169226403,12/7/09,49,
1169226403,1/7/10,80,
1169226403,2/5/10,79,
1169226403,3/9/10,91,
1169226403,4/7/10,43,
1169226403,5/7/10,45,
1169226403,6/8/10,25,
1169226403,7/8/10,25,
1169226403,8/6/10,26,
1169226403,9/8/10,28,
1169226403,10/7/10,18,
1169226403,11/5/10,25,
1169226403,12/7/10,63,
1169226403,1/6/11,77,
1169226403,2/7/11,78,
1169226403,3/9/11,76,
1169226403,4/7/11,45,
1169226403,5/6/11,35,
1169226403,6/8/11,36,
1169226403,7/8/11,17,
1169226403,8/8/11,21,
1169226403,9/7/11,20,
1169226403,10/6/11,22,
1169226403,11/4/11,26,
1169226403,12/6/11,67,
1169226403,1/6/12,92,
